group,product,system,server_threads,thread_role,workload,connections,keys,value_bytes,test_seconds,client_seed_mode,qps,avg_ms,p50_ms,p99_ms,p999_ms,p9999_ms,requests,client_cores,server_cores_enclosing_window,host_steal_percent_enclosing_window,connection_errors,source
storage,Lavik defrag enabled / SPDK,lavik-spdk,16,workers,GET,80,1000000000,1024,60,distinct,396645.47,0.20118,0.191,0.319,0.679,1.807,23798882,5.782,15.3679,0.0,0,storage/lavik-spdk/get-c80.json
storage,Lavik defrag enabled / SPDK,lavik-spdk,16,workers,GET,160,1000000000,1024,60,distinct,598462.38,0.26679,0.255,0.503,1.159,2.495,35909275,8.226,15.6431,0.0,0,storage/lavik-spdk/get-c160.json
storage,Lavik defrag enabled / SPDK,lavik-spdk,16,workers,GET,320,1000000000,1024,60,distinct,792118.98,0.40351,0.367,0.959,1.999,3.983,47529296,10.465,15.6809,0.0,0,storage/lavik-spdk/get-c320.json
storage,Lavik defrag enabled / SPDK,lavik-spdk,16,workers,GET,640,1000000000,1024,60,distinct,952559.72,0.6714,0.543,3.599,5.535,9.791,57158082,12.941,15.7119,0.0,0,storage/lavik-spdk/get-c640.json
storage,Lavik defrag enabled / SPDK,lavik-spdk,16,workers,GET,1280,1000000000,1024,60,distinct,903054.86,1.41661,0.951,9.279,15.999,23.167,54190795,12.3,15.6253,0.0,0,storage/lavik-spdk/get-c1280.json
storage,Lavik defrag enabled / SPDK,lavik-spdk,16,workers,GET,2560,1000000000,1024,60,distinct,801679.76,3.19203,0.855,34.815,42.239,48.127,48113056,11.154,15.4118,0.0,0,storage/lavik-spdk/get-c2560.json
storage,Lavik defrag enabled / SPDK,lavik-spdk,16,workers,SET,80,1000000000,1024,60,distinct,422449.9,0.18902,0.151,0.711,6.111,8.031,25348226,6.137,13.4355,0.0,0,storage/lavik-spdk/set-c80.json
storage,Lavik defrag enabled / SPDK,lavik-spdk,16,workers,SET,160,1000000000,1024,60,distinct,530671.83,0.30118,0.207,3.759,7.327,9.663,31841225,7.385,14.2932,0.0,0,storage/lavik-spdk/set-c160.json
storage,Lavik defrag enabled / SPDK,lavik-spdk,16,workers,SET,320,1000000000,1024,60,distinct,621373.05,0.51457,0.311,6.111,9.215,12.863,37284957,8.591,14.9477,0.0,0,storage/lavik-spdk/set-c320.json
storage,Lavik defrag enabled / SPDK,lavik-spdk,16,workers,SET,640,1000000000,1024,60,distinct,717577.59,0.89134,0.543,7.839,11.711,15.615,43060202,9.915,15.4388,0.0,0,storage/lavik-spdk/set-c640.json
storage,Lavik defrag enabled / SPDK,lavik-spdk,16,workers,SET,1280,1000000000,1024,60,distinct,764939.15,1.67249,1.087,10.879,16.639,22.143,45903733,10.756,15.6771,0.0,0,storage/lavik-spdk/set-c1280.json
storage,Lavik defrag enabled / SPDK,lavik-spdk,16,workers,SET,2560,1000000000,1024,60,distinct,727983.99,3.51534,2.671,18.431,30.207,44.287,43690355,10.891,15.7162,0.0,0,storage/lavik-spdk/set-c2560.json
storage,Dragonfly v1.40.2,dragonfly,16,proactors,GET,80,1000000000,1024,60,distinct,165571.09,0.48279,0.271,4.223,43.263,150.527,9934484,2.357,8.5705,0.0,0,storage/dragonfly/get-c80.json
storage,Dragonfly v1.40.2,dragonfly,16,proactors,GET,160,1000000000,1024,60,distinct,376336.98,0.42448,0.295,3.279,13.503,136.191,22580570,5.429,11.7167,0.0,0,storage/dragonfly/get-c160.json
